time,pm25,temp,humidity,wind_speed,precipitation,pressure
2024-01-01T00:00,206.8,-6.4,76,4.6,0,1023.9
2024-01-01T01:00,214.2,-6.7,78,4.8,0,1024.1
2024-01-01T02:00,133.2,-5,69,3.6,0,1024
2024-01-01T03:00,112,-3.3,62,2.6,0,1023.5
2024-01-01T04:00,99.7,-1.8,55,3.9,0,1021.8
2024-01-01T05:00,91,-0.2,49,8.3,0,1020.3
2024-01-01T06:00,85.2,0.5,47,11.6,0,1019.4
2024-01-01T07:00,82,0.8,48,13.3,0,1018.5
2024-01-01T08:00,90.1,-0.1,53,10.5,0,1018.5
2024-01-01T09:00,128.5,-1.9,63,9,0,1018.4
2024-01-01T10:00,186.3,-2.6,68,8.5,0,1018.5
2024-01-01T11:00,245.9,-4.5,80,9.1,0,1018.8
2024-01-01T12:00,201.2,-5,80,8.6,0,1019
2024-01-01T13:00,218.9,-5.8,86,6.3,0,1019.5
2024-01-01T14:00,235.6,-6.1,85,5.1,0,1019.4
2024-01-01T15:00,258.9,-6.3,84,4.3,0,1019.3
2024-01-01T16:00,259.8,-6.7,85,4.2,0,1018.9
2024-01-01T17:00,250.5,-7,88,5.6,0,1018.9
2024-01-01T18:00,238.4,-7.3,89,4.2,0,1018.5
2024-01-01T19:00,224.4,-7.5,89,3.6,0,1018.3
2024-01-01T20:00,208.6,-7.6,89,3.4,0,1018.1
2024-01-01T21:00,195.1,-7.7,90,2.5,0,1017.7
2024-01-01T22:00,184.4,-7.8,89,2.6,0,1017.7
2024-01-01T23:00,202.6,-7.8,87,3.7,0,1018
2024-01-02T00:00,190.9,-7.8,88,3.4,0,1018.4
2024-01-02T01:00,184.4,-7.2,88,2.9,0,1018.7
2024-01-02T02:00,163.9,-4.4,73,3.4,0,1018.9
2024-01-02T03:00,118,-1.6,60,1.4,0,1018.4
2024-01-02T04:00,91.3,0.3,52,1.5,0,1017.5
2024-01-02T05:00,85.7,2,46,4.5,0,1016.7
2024-01-02T06:00,87.3,2.6,44,7.4,0,1015.9
2024-01-02T07:00,90.8,2.9,44,10.1,0,1015.8
2024-01-02T08:00,116.6,1,51,11.5,0,1016
2024-01-02T09:00,147.1,-1.5,61,8.6,0,1016.3
2024-01-02T10:00,153.7,-2.5,67,8.1,0,1016.6
2024-01-02T11:00,143,-2.7,57,8.8,0,1016.7
2024-01-02T12:00,132.2,-2,44,10.4,0,1017.5
2024-01-02T13:00,112.9,-2,43,10.5,0,1018.4
2024-01-02T14:00,85.9,-1.2,39,12.4,0,1018.5
2024-01-02T15:00,57.4,-0.9,37,12.6,0,1019
2024-01-02T16:00,35.5,-2.2,40,10.5,0,1019
2024-01-02T17:00,25.6,-4.3,47,13.5,0,1018.9
2024-01-02T18:00,22.8,-5.5,51,12.8,0,1019.1
2024-01-02T19:00,24.3,-5.9,54,8.9,0,1019.2
2024-01-02T20:00,30.5,-7.2,59,10.3,0,1019.1
2024-01-02T21:00,41.7,-7.2,57,10,0,1019.1
2024-01-02T22:00,58.2,-7.2,57,11.1,0,1018.9
2024-01-02T23:00,106.9,-8.1,60,12.8,0,1019.2
2024-01-03T00:00,151.8,-7.2,56,8.3,0,1019.5
2024-01-03T01:00,213.3,-4.8,51,11.4,0,1020.2
2024-01-03T02:00,101.7,-2.5,43,3.7,0,1020.6
2024-01-03T03:00,55.5,-0.2,35,4.3,0,1020.3
2024-01-03T04:00,41.7,1.5,30,0.7,0,1019.1
2024-01-03T05:00,38.3,2.7,28,10.1,0,1018.1
2024-01-03T06:00,39.2,2.8,30,15.3,0,1016.8
2024-01-03T07:00,42,2.6,31,17.3,0,1016
2024-01-03T08:00,55.1,1.2,36,12.9,0,1016
2024-01-03T09:00,78,-1.8,46,11.3,0,1015.8
2024-01-03T10:00,101,-3,52,10.2,0,1015.2
2024-01-03T11:00,117.3,-3.8,56,9.8,0,1014.4
2024-01-03T12:00,136.9,-4.4,60,8.8,0,1014
2024-01-03T13:00,148.5,-4.6,65,8.1,0,1014
2024-01-03T14:00,154.6,-5.2,72,9.9,0,1013.3
2024-01-03T15:00,160.7,-5.3,73,8.9,0,1012.5
2024-01-03T16:00,157.9,-3.9,65,3.3,0,1012.1
2024-01-03T17:00,158.3,-5.4,70,4,0,1011.6
2024-01-03T18:00,156.9,-6.1,72,5.2,0,1010.9
2024-01-03T19:00,151.3,-6.9,77,6.9,0,1010.4
