date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251224,0,PM2.5,6,7,6,7,6,3,8,5,10,6,7,7,7,6,4,12,15,5,5,5,4,11,17,6,5,7,8,6,5,5,7,6,15,12,18
20251224,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,0,PM10,14,12,13,15,13,11,16,12,26,14,17,22,14,11,8,20,24,7,8,7,5,16,21,13,9,15,18,17,12,12,27,16,31,28,32
20251224,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,0,AQI,15,13,13,15,22,19,27,17,26,15,17,22,15,14,16,21,24,14,14,14,17,16,25,13,13,15,19,23,14,26,27,20,31,30,32
20251224,1,PM2.5,7,7,8,6,6,4,8,5,8,7,6,5,5,6,4,10,12,5,5,4,4,7,15,7,6,6,7,6,6,5,6,6,7,12,21
20251224,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,1,PM10,14,11,14,14,13,12,17,11,18,16,15,13,10,10,7,17,19,8,8,7,5,11,18,14,10,15,19,20,13,14,26,14,22,34,35
20251224,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,1,AQI,16,14,16,16,31,27,31,15,20,18,15,19,14,12,17,21,20,13,14,13,16,11,22,16,16,16,19,35,23,33,31,14,22,36,35
20251224,2,PM2.5,7,7,7,6,6,4,7,5,8,6,6,5,6,5,5,11,12,5,5,5,5,6,14,5,4,7,7,6,6,7,7,5,4,12,8
20251224,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,2,PM10,14,11,12,14,12,13,15,11,18,13,15,12,13,9,9,18,19,7,8,7,5,9,16,11,8,17,18,22,15,19,26,12,18,34,15
20251224,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,2,AQI,16,17,17,16,33,25,31,20,24,13,24,18,19,12,16,21,20,11,13,11,16,10,20,11,12,28,27,37,30,37,32,12,18,34,15
20251224,3,PM2.5,6,7,6,5,5,4,6,5,11,5,6,5,6,5,4,11,12,4,5,5,5,7,15,5,4,8,9,7,7,6,7,5,4,15,10
20251224,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,3,PM10,12,11,12,12,10,11,13,10,31,11,17,13,11,10,7,19,19,6,7,7,6,10,15,10,7,18,21,23,17,18,24,12,19,56,17
20251224,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,3,AQI,15,17,17,16,27,23,32,23,31,14,19,22,23,10,15,22,19,14,14,12,16,10,22,11,11,30,33,34,30,38,30,12,19,53,17
20251224,4,PM2.5,6,6,5,5,5,3,6,4,9,4,6,6,5,5,4,10,10,4,4,5,6,7,13,5,4,8,9,7,7,6,8,5,4,13,9
20251224,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,4,PM10,12,10,10,11,10,10,13,8,23,10,16,14,10,9,8,19,18,6,7,7,7,9,14,10,7,17,20,22,20,17,24,12,18,52,16
20251224,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,4,AQI,16,15,14,18,19,21,31,19,28,13,16,20,13,11,14,22,20,14,12,13,15,10,19,14,17,30,32,33,29,36,33,15,18,51,16
20251224,5,PM2.5,6,6,5,5,5,3,6,3,9,5,5,5,5,5,5,10,11,4,4,7,5,7,13,5,4,8,10,6,6,6,7,4,4,13,8
20251224,5,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,5,PM10,12,10,10,11,10,9,12,6,24,11,15,14,11,10,10,19,19,6,7,9,7,9,14,11,8,17,22,21,18,18,22,12,15,56,14
20251224,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,5,AQI,17,15,14,19,25,19,31,18,26,12,15,19,12,10,14,20,19,14,14,22,14,10,19,15,24,28,30,32,27,35,33,12,15,53,14
20251224,6,PM2.5,6,5,5,5,5,3,6,3,8,4,6,5,7,4,6,7,10,4,4,8,7,6,14,5,4,7,9,6,6,7,7,4,4,13,8
20251224,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,6,PM10,11,9,11,13,10,9,11,6,23,11,17,13,14,9,11,14,17,6,6,10,13,8,15,12,8,15,20,21,19,20,17,11,14,55,15
20251224,6,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,6,AQI,18,17,16,24,31,21,31,22,27,12,19,18,14,9,13,15,17,13,14,22,13,9,20,16,19,28,29,31,29,33,30,12,14,53,15
20251224,7,PM2.5,8,5,5,7,6,2,6,3,8,5,6,5,9,6,7,7,8,4,4,8,9,6,12,6,4,7,10,6,7,7,8,4,4,11,7
20251224,7,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,7,PM10,15,9,11,17,12,9,12,6,24,13,18,13,17,13,12,14,15,6,7,10,15,7,14,14,7,15,20,26,22,22,16,12,14,48,15
20251224,7,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,7,AQI,23,16,18,33,34,20,29,20,27,20,20,17,17,13,13,15,16,12,13,19,16,10,18,16,17,27,29,32,31,35,30,14,14,48,15
20251224,8,PM2.5,8,7,7,7,8,3,9,4,10,4,7,6,10,9,8,8,9,5,5,7,9,7,14,6,5,8,11,9,7,10,9,5,4,14,10
20251224,8,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,8,PM10,15,14,16,19,17,10,23,7,30,12,19,16,20,19,15,15,15,8,8,10,16,9,17,13,10,17,23,37,23,31,27,13,16,79,21
20251224,8,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,8,AQI,22,21,25,27,33,25,29,19,30,19,19,22,20,19,15,15,15,10,11,20,20,10,20,20,20,27,29,37,29,42,27,13,16,65,21
20251224,9,PM2.5,11,11,9,8,10,6,10,6,11,6,8,6,10,11,10,13,12,7,8,11,10,9,14,8,7,11,11,11,7,9,10,5,4,14,11
20251224,9,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,9,PM10,21,21,21,22,22,16,25,10,37,18,21,16,21,26,19,24,21,14,11,16,17,12,19,18,14,24,23,52,23,29,25,15,18,68,24
20251224,9,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,9,AQI,24,22,27,27,33,24,28,20,37,20,21,26,21,26,19,24,21,14,12,17,17,13,20,18,17,24,23,51,28,38,28,15,18,59,24
20251224,10,PM2.5,11,12,10,9,10,9,11,8,11,6,8,7,11,12,12,23,22,7,9,11,9,10,13,8,8,12,14,10,7,10,14,5,5,11,12
20251224,10,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,10,PM10,21,21,25,24,23,26,27,14,29,20,22,18,21,28,23,40,36,12,13,19,14,13,20,19,14,27,30,42,22,32,31,16,21,49,27
20251224,10,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,10,AQI,22,24,27,26,30,26,27,19,29,20,22,23,21,28,23,40,36,13,13,19,14,15,20,19,14,27,30,42,30,33,31,16,21,49,27
20251224,11,PM2.5,10,12,12,,,10,13,11,13,7,9,8,12,10,8,,26,8,9,11,9,9,10,9,8,14,17,9,8,8,16,6,5,10,13
20251224,11,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,11,PM10,22,23,28,25,25,28,34,22,33,20,25,20,25,24,16,43,42,14,13,,13,11,19,21,14,31,37,32,,28,43,21,21,43,28
20251224,11,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,11,AQI,22,28,28,25,26,28,34,22,33,20,25,20,25,24,17,43,42,14,13,16,14,13,19,21,14,31,37,32,12,28,43,21,21,43,28
20251224,12,PM2.5,11,13,14,,11,10,15,11,13,9,10,8,12,9,10,25,25,10,11,9,9,8,9,10,7,12,17,10,8,9,16,7,7,10,13
20251224,12,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,12,PM10,23,25,33,29,26,28,40,24,34,27,26,21,26,23,22,45,40,17,18,21,14,11,16,25,16,28,35,36,26,29,38,25,28,38,29
20251224,12,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,12,AQI,23,25,33,29,26,28,40,24,34,27,26,21,26,23,22,45,40,17,18,21,15,15,16,25,16,28,35,36,26,29,38,25,28,38,29
20251224,13,PM2.5,14,15,17,13,13,14,15,12,14,13,12,10,15,12,14,22,24,11,12,10,10,8,9,12,9,12,15,13,11,9,10,10,11,12,15
20251224,13,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,13,PM10,31,31,38,33,30,36,37,30,35,30,34,29,39,38,36,43,40,20,21,23,18,11,16,28,20,30,33,43,30,26,36,41,45,42,34
20251224,13,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,13,AQI,31,31,38,33,30,36,37,30,35,30,34,29,39,38,36,43,40,20,21,23,18,15,16,28,20,30,33,43,30,26,36,41,45,42,34
20251224,14,PM2.5,13,17,15,16,13,14,11,8,16,19,12,10,15,14,13,10,12,12,12,10,14,8,12,14,11,12,14,16,14,12,14,9,10,14,16
20251224,14,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,14,PM10,32,38,37,,31,38,29,25,40,41,40,32,38,42,33,23,23,23,25,26,24,14,21,38,26,34,34,45,41,34,34,35,34,50,38
20251224,14,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,14,AQI,32,38,37,23,31,38,29,25,40,41,40,32,38,42,33,23,23,23,25,26,24,15,21,38,26,34,34,45,41,34,34,35,34,50,38
20251224,15,PM2.5,10,11,11,11,10,9,9,6,10,14,7,5,9,10,9,3,4,16,14,13,17,10,14,16,11,12,13,10,13,12,15,5,6,14,17
20251224,15,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,15,PM10,25,28,28,25,27,29,24,22,28,29,26,20,27,29,24,9,10,32,30,31,30,20,28,43,29,38,34,35,39,33,39,20,22,53,41
20251224,15,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,15,AQI,25,28,28,25,27,29,24,22,28,29,26,20,27,29,24,22,20,32,30,31,30,20,28,43,29,38,34,35,39,33,39,20,22,52,41
20251224,16,PM2.5,5,7,6,7,5,2,5,3,6,7,4,3,4,5,4,2,2,3,3,12,17,10,15,12,7,8,8,5,6,5,12,3,5,8,13
20251224,16,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,16,PM10,16,18,19,20,18,17,16,16,26,20,22,17,15,16,10,7,8,8,10,30,31,26,32,30,20,29,25,25,22,19,43,15,24,46,36
20251224,16,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,16,AQI,20,21,20,21,21,22,19,19,26,22,22,17,21,22,23,22,20,20,21,30,31,26,32,30,20,29,25,25,22,21,43,20,24,46,36
20251224,17,PM2.5,4,5,5,6,4,2,4,3,5,5,4,3,3,3,2,2,2,2,2,10,15,10,16,4,2,5,4,4,4,3,4,3,4,4,3
20251224,17,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,17,PM10,14,17,17,17,14,13,15,16,21,16,19,15,13,12,8,9,10,8,7,25,29,30,35,12,9,24,15,22,18,15,25,14,20,33,13
20251224,17,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,17,AQI,20,20,20,20,20,22,19,19,21,21,19,15,20,22,23,21,20,20,22,25,29,30,35,20,22,24,20,22,21,20,25,20,21,33,20
20251224,18,PM2.5,4,5,5,5,4,2,4,2,4,4,3,3,3,4,2,2,2,2,2,6,9,10,17,3,2,4,4,3,4,3,3,2,4,4,3
20251224,18,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,18,PM10,15,18,17,16,14,13,15,16,19,16,20,16,14,14,9,9,10,8,8,23,22,33,39,16,12,18,16,24,18,15,21,16,19,46,21
20251224,18,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,18,AQI,19,20,20,20,20,20,18,18,19,20,20,16,19,22,22,20,19,20,20,23,22,33,39,19,21,19,18,24,20,20,21,19,20,46,21
20251224,19,PM2.5,4,5,5,6,4,2,3,2,4,3,4,2,3,7,2,2,2,2,2,2,4,6,6,3,2,3,3,3,4,3,3,2,4,3,3
20251224,19,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,19,PM10,14,19,19,18,14,13,13,14,18,12,17,13,11,14,7,6,6,7,6,19,14,24,17,13,9,26,26,24,17,16,23,12,15,39,23
20251224,19,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,19,AQI,18,19,19,19,19,20,17,17,18,20,17,13,18,22,21,21,19,20,20,19,20,24,17,18,20,26,26,24,19,19,23,19,20,39,23
20251224,20,PM2.5,4,6,5,4,4,2,3,2,4,3,4,2,3,4,2,2,2,2,2,3,3,2,3,3,2,3,3,3,3,4,2,3,4,3,3
20251224,20,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,20,PM10,12,17,15,12,10,11,10,12,14,10,14,10,9,9,7,5,5,7,5,10,7,11,9,8,6,25,27,18,15,14,39,12,13,24,20
20251224,20,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,20,AQI,17,18,18,20,19,20,18,17,17,20,18,13,19,22,22,21,20,20,20,19,21,20,19,18,20,25,27,18,19,19,39,19,20,24,20
20251224,21,PM2.5,4,5,5,5,3,2,4,2,3,3,3,2,3,3,2,2,2,2,2,3,3,2,3,2,1,2,2,3,4,3,2,5,4,5,3
20251224,21,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,21,PM10,10,13,14,13,9,10,12,9,12,9,13,10,8,8,7,5,5,6,5,9,6,9,8,8,6,14,13,16,13,12,37,16,13,25,20
20251224,21,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,21,AQI,17,19,17,18,19,20,16,17,17,20,17,13,20,22,22,20,19,20,20,20,21,19,19,19,20,19,19,17,18,19,37,19,20,25,20
20251224,22,PM2.5,3,5,4,4,3,2,4,3,3,3,3,2,3,4,2,2,2,2,2,3,3,2,3,3,2,2,2,3,3,2,2,2,5,5,3
20251224,22,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,22,PM10,9,12,12,11,9,9,12,12,14,8,10,8,8,8,6,4,4,6,4,7,6,8,6,7,5,12,11,14,11,11,25,8,12,25,16
20251224,22,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,22,AQI,18,19,18,19,20,20,16,16,17,20,17,13,19,22,21,20,19,19,20,20,20,20,19,18,20,19,18,18,19,20,25,19,20,25,19
20251224,23,PM2.5,3,4,4,4,3,2,3,3,4,2,3,2,3,3,3,2,2,2,2,3,3,2,3,3,2,2,2,3,3,2,2,2,4,5,3
20251224,23,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,23,PM10,9,11,11,10,9,7,10,11,11,7,10,8,8,7,6,5,5,5,4,7,6,7,6,6,5,12,11,14,10,11,13,7,11,16,15
20251224,23,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251224,23,AQI,17,19,17,19,19,20,16,16,16,20,18,13,18,21,20,20,18,19,19,17,20,19,18,18,19,19,18,16,19,19,17,19,20,20,19
