date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20251211,0,SO2,6,1,4,4,5,5,4,1,4,6,2,2,7,1,3,3,4,7,3,4,7,3,1,6,2,3,6,2,5,2,2,2,3,3,5
20251211,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,0,NO2,62,43,59,62,67,49,65,64,73,72,64,64,47,37,11,55,52,49,37,55,43,39,54,56,62,67,69,72,60,66,68,7,10,90,57
20251211,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,0,O3,3,5,3,3,3,3,3,1,2,2,4,2,21,15,29,3,8,8,9,3,14,4,1,1,1,2,1,2,2,1,2,68,57,1,23
20251211,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,0,CO,0.9,0.6,0.7,0.7,0.8,0.9,1,0.9,0.9,0.8,0.5,0.7,0.9,1.3,0.4,1.3,1.4,0.8,0.6,0.8,0.8,1.5,1.1,0.7,0.7,0.7,0.8,0.8,0.8,0.7,1,0.2,0.3,1,0.7
20251211,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,1,SO2,6,1,5,3,6,4,4,2,4,6,3,2,6,205,3,2,4,7,4,3,6,3,1,6,2,3,6,1,6,2,2,2,3,3,212
20251211,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,1,NO2,59,51,61,68,69,50,66,72,73,67,65,69,37,35,9,52,47,45,41,53,42,39,49,53,61,66,69,63,62,66,62,5,9,94,10
20251211,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,1,O3,7,4,3,2,2,2,2,1,2,7,4,2,29,32,25,3,8,12,10,2,13,2,1,2,1,2,1,2,3,2,2,68,56,1,67
20251211,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,1,CO,1,0.8,0.8,0.8,0.9,1,1.1,0.9,1,0.7,0.5,0.8,0.8,1.3,0.3,1.1,1.5,0.8,0.6,0.8,0.7,1.5,1,0.8,0.8,0.7,0.8,0.6,0.8,0.7,1.1,0.2,0.3,1,0.4
20251211,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,2,SO2,6,1,4,3,6,4,4,2,4,5,1,1,5,116,3,2,3,6,4,3,4,3,1,7,3,2,6,3,6,1,3,2,3,2,31
20251211,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,2,NO2,52,49,60,56,75,51,65,66,69,39,28,65,15,31,3,51,49,50,44,41,37,37,47,52,40,67,75,63,66,66,68,5,9,83,8
20251211,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,2,O3,14,6,5,13,2,2,3,1,2,35,43,2,53,55,32,4,7,9,5,14,18,3,1,3,18,2,1,2,2,2,2,70,62,3,70
20251211,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,2,CO,0.8,0.8,0.7,0.6,1,1,1.1,0.9,0.9,0.4,0.1,0.8,0.6,4,0.2,1.3,1.4,0.7,0.6,0.7,0.7,1.5,1,0.7,0.6,0.7,0.9,0.5,0.8,0.7,1,0.2,0.3,0.8,0.3
20251211,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,3,SO2,5,2,4,3,6,5,3,1,4,4,1,1,5,1,3,2,3,6,4,3,3,3,1,6,3,2,6,3,5,3,3,2,2,2,3
20251211,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,3,NO2,52,47,65,58,75,53,70,54,64,24,17,64,8,22,1,48,52,34,45,28,19,35,49,40,35,67,72,59,63,71,55,6,15,24,7
20251211,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,3,O3,15,19,1,11,2,2,2,9,5,56,57,2,59,65,40,4,7,29,5,30,36,2,1,14,22,2,1,5,2,2,2,68,55,49,73
20251211,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,3,CO,0.6,0.5,0.6,0.5,0.9,0.9,0.9,0.4,0.6,0.3,0.3,0.5,0.4,1.1,0.2,1.4,1.1,0.6,0.6,0.5,0.4,1.5,1.1,0.6,0.5,0.7,0.9,0.5,0.8,0.8,1,0.2,0.3,0.1,0.3
20251211,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,4,SO2,5,2,3,3,5,5,3,1,3,5,1,1,4,1,3,2,4,6,3,3,3,3,3,7,2,2,6,3,6,3,4,2,2,2,2
20251211,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,4,NO2,55,49,57,57,70,55,57,42,57,40,29,49,8,27,2,47,51,14,47,22,18,35,45,32,33,66,64,61,64,75,63,7,12,29,7
20251211,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251211,4,O3,9,15,13,11,2,1,11,20,10,27,35,15,58,65,33,4,7,57,6,38,39,1,1,24,24,2,1,6,2,2,1,66,47,31,71
20251211,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
